date,source,media_type,region,ministry,title,content
2026-10-14,The Namibian,Print (Newspaper),Khomas,MICT,MICT launches national digital literacy campaign,"The Ministry of Information and Communication Technology announced a new digital skills programme aimed at reducing youth unemployment across all 14 regions."
2026-10-14,NBC National Radio,Radio Transcript,Oshana,MoHSS,Urgent medicine supplies arrive at Oshakati Hospital,"Health authorities confirmed delivery of essential clinical supplies to Oshakati Intermediate Hospital following previous distribution delays."
2026-10-14,Eagle FM,Radio Transcript,Erongo,MWT,Port expansion project creates 450 local jobs,"The Ministry of Works and Transport confirmed that the new logistics corridor development in Walvis Bay has employed over 450 local youth."
2026-10-13,New Era,Print (Newspaper),//Kharas,MAWLR,Southern farmers appeal for urgent drought relief,"Commercial and communal farmers in //Kharas region face acute pasture shortages, calling for immediate intervention and emergency feed subsidies."
2026-10-13,Namibian Sun,Print (Newspaper),Otjozondjupa,MoEAC,Classroom shortages delay semester start in Otjiwarongo,"Overcrowded schools in Otjiwarongo prompt community calls for emergency prefabricated classrooms ahead of the new school term."
2026-10-13,X (Twitter) Feed,Social Media,Khomas,MME,Public debate intensifies over fuel price adjustments,"Citizens and transport operators express concern online over potential transport fare increases following latest fuel benchmark updates."
2026-10-12,Informanté,Online News,Omusati,MAWLR,Canal rehabilitation restores water supply to northern villages,"Water supply has been successfully restored to over twenty northern villages following completion of urgent canal maintenance works."
2026-10-12,NBC TV News,TV Broadcast,Windhoek,MHAISS,Home Affairs reduces passport turnaround time to 3 days,"The Ministry of Home Affairs, Immigration, Safety and Security announced automated passport processing, drastically cutting citizen wait times."
2026-10-11,Kundana,Print (Newspaper),Kavango East,MAWLR,Green scheme harvests exceed annual targets,"Local youth agricultural cooperatives in Kavango East record bumper maize and wheat yields, boosting national grain reserves."
2026-10-11,WhatsApp Community Alert,Social Media,Hardap,MWT,Bridge repair disruption causes temporary detour near Mariental,"Motorists are advised to use alternative routes following flood damage assessment on the B1 highway."
